#Chromosome	Start	End	Gene	Transcript
chr2	148602086	148688391	ACVR2A	NM_001616.5
chr2	148687965	148779120	ORC4	NM_181741.4
chr2	148778580	149274540	MBD5	NM_001378120.1
chr2	149402320	149545138	EPC2	NM_015630.4
chr2	149632796	149883273	KIF5C	NM_004522.3
chr2	149895213	150071776	LYPD6B	NM_177964.5
chr2	150186499	150330652	LYPD6	NM_194317.5
chr2	150426151	150444289	MMADHC	NM_015702.3
chr2	151324707	151344209	RND3	NM_005168.5
chr2	152104454	152118377	RBM43	NM_198557.3
chr2	152126984	152146182	NMI	NM_004688.3
chr2	152214106	152236560	TNFAIP6	NM_007115.4
chr2	152266416	152338686	RIF1	NM_018151.5
chr2	152341853	152591001	NEB	NM_001164508.2
chr2	152655311	152684935	ARL5A	NM_012097.4
chr2	152689285	152955681	CACNB4	NM_000726.5
chr2	152973315	153032277	STAM2	NM_005843.6
chr2	153191688	153506340	FMNL2	NM_052905.4
chr2	153508107	153574533	PRPF40A	NM_001365596.3
chr2	153574162	153618910	ARL6IP6	NM_152522.7
chr2	154333852	154335276	RPRM	NM_019845.3
chr2	154728435	155310689	GALNT13	NM_052917.4
chr2	155555207	155714866	KCNJ3	NM_002239.4
chr2	157180949	157189233	NR4A2	NM_006186.4
chr2	157292064	157442915	GPD2	NM_000408.5
chr2	158114217	158175003	GALNT5	NM_014568.3
chr2	158175143	158184224	ERMN	NM_020711.3
chr2	158271131	158300601	CYTIP	NM_004288.5
chr2	158383279	158485376	ACVR1C	NM_145259.3
chr2	158592958	158732842	ACVR1	NM_001111067.4
chr2	158851691	158992666	UPP2	NM_173355.4
chr2	159027585	159313265	CCDC148	NM_138803.4
chr2	159313464	159537941	PKP4	NM_003628.6
chr2	159651829	159672502	DAPL1	NM_001017920.3
chr2	159825152	160089170	TANC1	NM_033394.3
chr2	160092309	160143214	WDSUB1	NM_001128212.3
chr2	160175490	160568953	BAZ2B	NM_013450.4
chr2	160569017	160627538	MARCHF7	NM_001282805.2
chr2	160625139	160654719	CD302	NM_014880.5
chr2	160659866	160761267	LY75	NM_002349.4
chr2	160788517	160919126	PLA2R1	NM_007366.5
chr2	160956182	161056783	ITGB6	NM_000888.5
chr2	161128662	161350318	RBMS1	NM_016836.4
chr2	161993474	162092741	TANK	NM_001199135.3
chr2	162164936	162268228	PSMD14	NM_005805.6
chr2	162272808	162282381	TBR1	NM_006593.4
chr2	162480926	162841780	SLC4A10	NM_001178015.2
chr2	162848755	162930725	DPP4	NM_001935.4
chr2	162999392	163008757	GCG	NM_002054.5
chr2	163027194	163099955	FAP	NM_004460.5
chr2	163123584	163175194	IFIH1	NM_022168.4
chr2	163175273	163219633	GCA	NM_012198.5
chr2	163227917	163695277	KCNH7	NM_033272.4
chr2	164459121	164592518	FIGN	NM_018086.4
chr2	165348927	165477992	GRB14	NM_004490.3
chr2	165514441	165698586	COBLL1	NM_001365672.2
chr2	165754709	165812035	SLC38A11	NM_001351537.1
chr2	165944036	166060560	SCN3A	NM_006922.4
chr2	166095924	166248814	SCN2A	NM_001040142.2
chr2	166326208	166545917	CSRNP3	NM_001172173.2
chr2	166604098	166650757	GALNT3	NM_004482.4
chr2	166729872	166810286	TTC21B	NM_024753.5
chr2	166841151	167005671	SCN1A	NM_001165963.4
chr2	167051695	167232497	SCN9A	NM_001365536.1
chr2	167260083	167350759	SCN7A	NM_002976.4
chr2	167744990	168116263	XIRP2	NM_152381.6
chr2	168149511	168730555	B3GALT1	NM_020981.4
chr2	168810532	169104105	STK39	NM_013233.3
chr2	169312782	169631644	CERS6	NM_203463.3
chr2	169643049	169722024	NOSTRIN	NM_001039724.4
chr2	169727401	169746940	SPC25	NM_020675.4
chr2	169757801	169766510	G6PC2	NM_021176.3
chr2	169777291	169887834	ABCB11	NM_003742.4
chr2	169923587	169952677	DHRS9	NM_001376924.1
chr2	169983619	170219044	LRP2	NM_004525.3
chr2	170336004	170363165	BBS5	NM_152384.3
chr2	170366212	170382768	KLHL41	NM_006063.3
chr2	170385018	170430375	FASTKD1	NM_024622.6
chr2	170440861	170497916	PPIG	NM_004792.3
chr2	170501935	170550915	CCDC173	NM_001085447.2
chr2	170550979	170558218	PHOSPHO2	NM_001008489.4
chr2	170590342	170608388	KLHL23	NM_144711.6
chr2	170655381	170668574	SSB	NM_003142.5
chr2	170668267	170681415	METTL5	NM_014168.4
chr2	170683964	170940641	UBR3	NM_172070.4
chr2	171034657	171511677	MYO3B	NM_138995.5
chr2	171571847	171574588	SP5	NM_001003845.3
chr2	171627192	171655487	ERICH2	NM_001290030.1
chr2	171673397	171717661	GAD1	NM_000817.3
chr2	171784987	171823640	GORASP2	NM_015530.5
chr2	171847333	172087803	TLK1	NM_012290.5
chr2	172172256	172291282	METTL8	NM_001321154.2
chr2	172290736	172341562	DCAF17	NM_025000.4
chr2	172378743	172414639	CYBRD1	NM_024843.4
chr2	172543979	172606668	DYNC1I2	NM_001378.3
chr2	172639915	172750754	SLC25A12	NM_003705.5
chr2	172778971	172848600	HAT1	NM_003642.4
chr2	172864860	172947158	METAP1D	NM_199227.3
chr2	172950235	172954402	DLX1	NM_178120.5
chr2	172964166	172967628	DLX2	NM_004405.4
chr2	173292064	173371187	ITGA6	NM_001079818.3
chr2	173420101	173490351	PDK1	NM_002610.5
chr2	173600573	173917621	RAPGEF4	NM_007023.4
chr2	173940574	174132743	MAP3K20	NM_016653.3
chr2	174219600	174233725	CDCA7	NM_031942.5
chr2	174765503	174830430	SP3	NM_003111.5
chr2	174937175	175113260	OLA1	NM_013341.5
chr2	175199682	175203228	SP9	NM_001145250.2
chr2	175212750	175260440	CIR1	NM_004882.4
chr2	175260458	175294303	SCRN3	NM_024583.5
chr2	175296299	175351757	GPR155	NM_152529.7
chr2	175424302	175547641	WIPF1	NM_001375834.1
chr2	175612320	175629200	CHRNA1	NM_000079.4
chr2	175663537	175870109	CHN1	NM_001822.7
chr2	175936987	176032931	ATF2	NM_001880.4
chr2	176040986	176046438	ATP5MC3	NM_001689.5
chr2	176788610	176867548	LNPK	NM_030650.3
chr2	176944835	176948690	EVX2	NM_001080458.1
chr2	176957449	176960672	HOXD13	NM_000523.4
chr2	176964523	176967217	HOXD12	NM_021193.4
chr2	176972008	176974482	HOXD11	NM_021192.3
chr2	176981506	176984665	HOXD10	NM_002148.4
chr2	176987447	176989665	HOXD9	NM_014213.4
chr2	176994433	176997423	HOXD8	NM_019558.4
chr2	177016278	177017954	HOXD4	NM_014621.3
chr2	177022035	177037826	HOXD3	NM_006898.5
chr2	177053396	177055635	HOXD1	NM_024501.3
chr2	177134170	177202753	MTX2	NM_006554.5
chr2	178077422	178088687	HNRNPA3	NM_194247.3
chr2	178095031	178129859	NFE2L2	NM_006164.5
chr2	178257501	178408562	AGPS	NM_003659.4
chr2	178413726	178417524	TTC30B	NM_152517.3
chr2	178477727	178483470	TTC30A	NM_152275.4
chr2	178487972	178973066	PDE11A	NM_016953.4
chr2	178977164	178994383	RBM45	NM_152945.4
chr2	179059239	179267620	OSBPL6	NM_032523.4
chr2	179296141	179315902	PRKRA	NM_003690.5
chr2	179316105	179326829	PJVK	NM_001042702.5
chr2	179328391	179343327	FKBP7	NM_181342.3
chr2	179345184	179381190	PLEKHA3	NM_019091.4
chr2	179390716	179672150	TTN	NM_001267550.2
chr2	179694484	179914864	CCDC141	NM_173648.4
chr2	179966405	180129559	SESTD1	NM_178123.5
chr2	180306709	180726339	ZNF385B	NM_152520.6
chr2	180809603	180872024	CWC22	NM_020943.3
chr2	181845087	181928152	UBE2E3	NM_006357.4
chr2	182321932	182403667	ITGA4	NM_000885.6
chr2	182401399	182521832	CERKL	NM_201548.5
chr2	182533022	182545244	NEUROD1	NM_002500.5
chr2	182756457	182795465	ITPRID2	NM_001130445.3
chr2	182819207	182996112	PPP1R1C	NM_001080545.3
chr2	183001180	183387572	PDE1A	NM_001363871.2
chr2	183580984	183659191	DNAJC10	NM_018981.4
chr2	183698002	183731365	FRZB	NM_001463.4
chr2	183773843	183903185	NCKAP1	NM_013436.5
chr2	183943475	183964736	DUSP19	NM_080876.4
chr2	183982242	184026408	NUP35	NM_138285.5
chr2	185463256	185804219	ZNF804A	NM_194250.2
chr2	186603531	186698017	FSIP2	NM_173651.4
chr2	187350987	187374088	ZC3H15	NM_018471.3
chr2	187454783	187545628	ITGAV	NM_002210.5
chr2	187558787	187630686	FAM171B	NM_177454.4
chr2	187692202	187713897	ZSWIM2	NM_182521.3
chr2	188206691	188312979	CALCRL	NM_005795.6
chr2	188328957	188419162	TFPI	NM_006287.6
chr2	189156601	189460653	GULP1	NM_016315.4
chr2	189839099	189877472	COL3A1	NM_000090.4
chr2	189896624	190044487	COL5A2	NM_000393.5
chr2	190306200	190340278	WDR75	NM_032168.3
chr2	190425316	190445512	SLC40A1	NM_014585.6
chr2	190526185	190535557	ASNSD1	NM_019048.4
chr2	190526185	190531127	ASDURF	NM_001353493.2
chr2	190539396	190611376	ANKAR	NM_001378068.1
chr2	190611386	190627924	OSGEPL1	NM_022353.3
chr2	190628585	190649065	ORMDL1	NM_016467.5
chr2	190649176	190742355	PMS1	NM_000534.5
chr2	190920426	190927455	MSTN	NM_005259.3
chr2	191002503	191068210	C2orf88	NM_001042519.2
chr2	191068646	191184552	HIBCH	NM_014362.4
chr2	191208315	191236391	INPP1	NM_001128928.2
chr2	191272302	191367040	MFSD6	NM_017694.4
chr2	191369064	191399448	NEMP2	NM_001142645.2
chr2	191513621	191557492	NAB1	NM_005966.4
chr2	191745547	191830278	GLS	NM_014905.5
chr2	191833875	191878897	STAT1	NM_007315.4
chr2	191894302	192016322	STAT4	NM_003151.4
chr2	192110130	192290112	MYO1B	NM_001130158.3
chr2	192542862	192551669	NABP1	NM_001031716.5
chr2	192699036	192711814	CAVIN2	NM_004657.6
chr2	192813772	193059659	TMEFF2	NM_016192.4
chr2	196521682	196602424	SLC39A10	NM_020342.3
chr2	196602427	196933561	DNAH7	NM_018897.3
chr2	196998307	197036302	STK17B	NM_004226.4
chr2	197058796	197458278	HECW2	NM_001348768.2
chr2	197504439	197597530	CCDC150	NM_001080539.2
chr2	197627759	197664407	GTF3C3	NM_012086.5
chr2	197669141	197674079	C2orf66	NM_213608.3
chr2	197697728	197791431	PGAP1	NM_024989.4
chr2	197851386	198175504	ANKRD44	NM_001195144.2
chr2	198254508	198299817	SF3B1	NM_012433.4
chr2	198318147	198340034	COQ10B	NM_025147.4
chr2	198351308	198364998	HSPD1	NM_002156.5
chr2	198365103	198368173	HSPE1	NM_002157.3
chr2	198380278	198418423	MOB4	NM_015387.5
chr2	198432948	198540311	RFTN2	NM_144629.3
chr2	198570093	198573119	MARS2	NM_138395.4
chr2	198591614	198650930	BOLL	NM_033030.6
chr2	198669317	199014587	PLCL1	NM_006226.4
chr2	200134223	200335989	SATB2	NM_001172509.2
chr2	200625262	200715915	FTCDNL1	NM_001350854.2
chr2	200776016	200792996	C2orf69	NM_153689.6
chr2	200793636	200820214	TYW5	NM_001039693.3
chr2	200820040	200828840	MAIP1	NM_024520.3
chr2	201170602	201346987	SPATS2L	NM_001100423.2
chr2	201353681	201374791	KCTD18	NM_152387.4
chr2	201390865	201448819	SGO2	NM_152524.6
chr2	201450737	201536218	AOX1	NM_001159.4
chr2	201676312	201692061	BZW1	NM_001207067.2
chr2	201717732	201729381	CLK1	NM_004071.4
chr2	201735630	201753800	PPIL3	NM_130906.3
chr2	201754050	201768655	NIF3L1	NM_001369441.2
chr2	201773700	201828383	ORC2	NM_006190.5
chr2	201838441	201936394	FAM126B	NM_001321623.1
chr2	201936724	201950473	NDUFB3	NM_002491.3
chr2	201980887	202041410	CFLAR	NM_003879.7
chr2	202047864	202094129	CASP10	NM_032977.4
chr2	202098166	202152434	CASP8	NM_001372051.1
chr2	202152994	202222068	FLACC1	NM_001127391.3
chr2	202241930	202316181	TRAK2	NM_015049.3
chr2	202316463	202345569	STRADB	NM_018571.6
chr2	202352144	202483901	C2CD6	NM_001168221.2
chr2	202484909	202508226	TMEM237	NM_001044385.3
chr2	202509597	202563367	MPP4	NM_033066.3
chr2	202564990	202645656	ALS2	NM_020919.4
chr2	202671152	202760273	CDK15	NM_001366386.2
chr2	202898578	202903164	FZD7	NM_003507.2
chr2	202937978	203069911	KIAA2012	NM_001277372.4
chr2	203070894	203103320	SUMO1	NM_003352.8
chr2	203130486	203168384	NOP58	NM_015934.5
chr2	203241050	203432472	BMPR2	NM_001204.7
chr2	203499692	203634480	FAM117B	NM_173511.4
chr2	203637899	203736489	ICA1L	NM_001288622.3
chr2	203738984	203776396	WDR12	NM_018256.4
chr2	203776998	203852986	CARF	NM_024744.17
chr2	203879598	204089917	NBEAL1	NM_001378026.1
chr2	204103741	204170749	CYP20A1	NM_177538.3
chr2	204193117	204296892	ABI2	NM_001375670.1
chr2	204298405	204400024	RAPH1	NM_213589.3
chr2	204571362	204603635	CD28	NM_006139.4
chr2	204732494	204738688	CTLA4	NM_005214.5
chr2	204801486	204826300	ICOS	NM_012092.4
chr2	205410198	206484886	PARD3B	NM_001302769.2
chr2	206547225	206662855	NRP2	NM_003872.3
chr2	206858445	206950898	INO80D	NM_017759.5
chr2	206979541	207024168	NDUFS1	NM_005006.7
chr2	207024333	207027652	EEF1B2	NM_001959.4
chr2	207040040	207082636	GPR1	NM_005279.4
chr2	207139387	207179151	ZDBF2	NM_020923.3
chr2	207308256	207485851	ADAM23	NM_003812.4
chr2	207507211	207514089	FAM237A	NM_001102659.3
chr2	207516345	207583120	DYTN	NM_001093730.1
chr2	207602487	207630052	MDH1B	NM_001039845.3
chr2	207630330	207660913	FASTKD2	NM_001136193.2
chr2	207804242	207834198	CPO	NM_173077.3
chr2	207938861	208031970	KLF7	NM_003709.4
chr2	208394686	208470712	CREB1	NM_004379.5
chr2	208445359	208490777	METTL21A	NM_001127395.4
chr2	208576364	208620898	CCNYL1	NM_001330218.2
chr2	208627322	208634630	FZD5	NM_003468.4
chr2	208686012	208890251	PLEKHM3	NM_001080475.3
chr2	208986331	208989248	CRYGD	NM_006891.4
chr2	208992861	208994552	CRYGC	NM_020989.4
chr2	209007297	209010882	CRYGB	NM_005210.4
chr2	209025464	209028313	CRYGA	NM_014617.4
chr2	209030071	209054754	C2orf80	NM_001099334.3
chr2	209100951	209119795	IDH1	NM_005896.4
chr2	209130979	209223470	PIKFYVE	NM_015040.4
chr2	209224416	209359231	PTH2R	NM_005048.4
chr2	210288771	210598836	MAP2	NM_001375505.1
chr2	210636556	210864020	UNC80	NM_001371986.1
chr2	210867362	210886984	RPE	NM_199229.3
chr2	210886145	211036133	KANSL1L	NM_152519.4
chr2	211052647	211090171	ACADL	NM_001608.4
chr2	211154874	211179898	MYL1	NM_079420.3
chr2	211295975	211341483	LANCL1	NM_006055.3
chr2	211342409	211543831	CPS1	NM_001875.5
chr2	212240442	213403526	ERBB4	NM_005235.3
chr2	213864422	214017180	IKZF2	NM_001387220.1
chr2	214149188	215275225	SPAG16	NM_024532.5
chr2	215275778	215443700	VWC2L	NM_001080500.4
chr2	215590370	215674407	BARD1	NM_000465.4
chr2	215796266	216003349	ABCA12	NM_173076.3
chr2	216176782	216214487	ATIC	NM_004044.7
chr2	216225588	216300791	FN1	NM_212482.4
chr2	216807307	216898819	MREG	NM_018000.3
chr2	216903111	216946532	PECR	NM_018441.6
chr2	216946642	216967506	TMEM169	NM_001142311.2
chr2	216974071	217071016	XRCC5	NM_021141.4
chr2	217122588	217237206	MARCHF4	NM_020814.3
chr2	217277207	217347776	SMARCAL1	NM_014140.4
chr2	217363567	217368809	RPL37A	NM_000998.5
chr2	217497551	217529159	IGFBP2	NM_000597.3
chr2	217536828	217560272	IGFBP5	NM_000599.4
chr2	217724181	217724787	TNP1	NM_003284.4
chr2	218664514	218867718	TNS1	NM_001387777.1
chr2	218899657	218955307	RUFY4	NM_198483.4
chr2	218990017	219001974	CXCR2	NM_001557.4
chr2	219027564	219031685	CXCR1	NM_000634.3
chr2	219081912	219119071	ARPC2	NM_152862.3
chr2	219124219	219128584	GPBAR1	NM_170699.3
chr2	219128852	219134860	AAMP	NM_001087.5
chr2	219135242	219211516	PNKD	NM_015488.5
chr2	219138915	219157300	TMBIM1	NM_022152.6
chr2	219221580	219232817	CATIP	NM_198559.2
chr2	219246996	219261617	SLC11A1	NM_000578.4
chr2	219262956	219270664	CTDSP1	NM_021198.3
chr2	219283846	219318018	VIL1	NM_007127.3
chr2	219314974	219433074	USP37	NM_020935.3
chr2	219433562	219461803	CNOT9	NM_005444.3
chr2	219472622	219501898	PLCD4	NM_032726.4
chr2	219498052	219524346	ZNF142	NM_001379659.1
chr2	219524406	219528166	BCS1L	NM_001079866.2
chr2	219528615	219536725	RNF25	NM_022453.3
chr2	219536809	219567440	STK36	NM_015690.5
chr2	219575558	219620139	TTLL4	NM_014640.5
chr2	219646870	219680016	CYP27A1	NM_000784.4
chr2	219687104	219696526	PRKAG3	NM_017431.3
chr2	219724528	219738955	WNT6	NM_006522.4
chr2	219745574	219758650	WNT10A	NM_025216.3
chr2	219824388	219826877	CDK5R2	NM_003936.5
chr2	219845809	219849906	FEV	NM_017521.3
chr2	219854912	219858144	CRYBA2	NM_057093.2
chr2	219867568	219906273	CFAP65	NM_194302.4
chr2	219919146	219925643	IHH	NM_002181.4
chr2	219934079	220025537	NHEJ1	NM_024782.3
chr2	220026187	220034751	SLC23A3	NM_001144889.2
chr2	220036619	220042878	CNPPD1	NM_015680.6
chr2	220042997	220050197	RETREG2	NM_024293.6
chr2	220071504	220074370	ZFAND2B	NM_138802.3
chr2	220074494	220083680	ABCB6	NM_005689.4
chr2	220084102	220094358	ATG9A	NM_001077198.3
chr2	220094528	220101401	ANKZF1	NM_018089.3
chr2	220101320	220110166	GLB1L	NM_001286423.2
chr2	220110201	220115059	STK16	NM_001330213.2
chr2	220114432	220119462	TUBA4A	NM_006000.3
chr2	220117965	220136919	TUBA4B	NM_001355221.1
chr2	220144088	220151617	DNAJB2	NM_006736.6
chr2	220154345	220174123	PTPRN	NM_002846.4
chr2	220192129	220197899	RESP18	NM_001007089.4
chr2	220236765	220264729	DNPEP	NM_012100.4
chr2	220283099	220291456	DES	NM_001927.4
chr2	220299565	220358351	SPEG	NM_005876.5
chr2	220361077	220363009	SPEGNB	NM_001286811.1
chr2	220363613	220371711	GMPPA	NM_013335.4
chr2	220379204	220403494	ASIC4	NM_018674.6
chr2	220403676	220408531	CHPF	NM_024536.6
chr2	220408385	220415317	TMEM198	NM_001005209.3
chr2	220415450	220436261	OBSL1	NM_015311.3
chr2	220437032	220440433	INHA	NM_002191.4
chr2	220462579	220481173	STK11IP	NM_052902.4
chr2	220492352	220506693	SLC4A3	NM_005070.4
chr2	222282747	222438922	EPHA4	NM_004438.5
chr2	223064606	223163717	PAX3	NM_181458.4
chr2	223288707	223427340	SGPP2	NM_152386.4
chr2	223431618	223520811	FARSB	NM_005687.5
chr2	223536377	223574649	MOGAT1	NM_058165.3
chr2	223725754	223809357	ACSL3	NM_004457.5
chr2	223916908	223920355	KCNE4	NM_080671.4
chr2	224461658	224467079	SCG2	NM_003469.5
chr2	224620043	224702299	AP1S3	NM_001039569.2
chr2	224740065	224810052	WDFY1	NM_020830.5
chr2	224822180	224832431	MRPL44	NM_022915.5
chr2	224839762	224904003	SERPINE2	NM_001136528.2
chr2	225243415	225266824	FAM124B	NM_001122779.2
chr2	225334867	225450080	CUL3	NM_003590.5
chr2	225629807	225907185	DOCK10	NM_014689.3
chr2	226264426	226568370	NYAP2	NM_001371273.1
chr2	227596028	227664536	IRS1	NM_005544.3
chr2	227664875	227863926	RHBDD1	NM_001167608.3
chr2	227867430	228028921	COL4A4	NM_000092.5
chr2	228029340	228179508	COL4A3	NM_000091.5
chr2	228189967	228222552	MFF	NM_001277062.2
chr2	228226754	228244022	TM4SF20	NM_024795.4
chr2	228336872	228425933	AGFG1	NM_004504.5
chr2	228474806	228498036	C2orf83	NM_020161.4
chr2	228548479	228582744	SLC19A3	NM_025243.4
chr2	228678558	228682272	CCL20	NM_004591.3
chr2	228736347	228789060	DAW1	NM_178821.3
chr2	228844671	229046403	SPHKAP	NM_001142644.2
chr2	229888689	230136003	PID1	NM_001100818.2
chr2	230222345	230579271	DNER	NM_139072.4
chr2	230628553	230787902	TRIP12	NM_001348323.3
chr2	230787219	230877835	FBXO36	NM_174899.5
chr2	230899698	230933640	SLC16A14	NM_152527.5
chr2	231029902	231090351	SP110	NM_080424.4
chr2	231090451	231177930	SP140	NM_007237.5
chr2	231191908	231268447	SP140L	NM_138402.6
chr2	231280916	231410321	SP100	NM_001080391.2
chr2	231577557	231685790	CAB39	NM_016289.4
chr2	231728900	231743969	ITM2C	NM_030926.6
chr2	231772043	231789957	GPR55	NM_005683.4
chr2	231860836	231871999	SPATA3	NM_139073.4
chr2	231902238	231914434	C2orf72	NM_001144994.2
chr2	231921581	232037541	PSMD1	NM_002807.4
chr2	231972944	231989756	HTR2B	NM_000867.5
chr2	232063345	232241559	ARMC9	NM_001352754.2
chr2	232260421	232265875	B3GNT7	NM_145236.3
chr2	232318242	232329195	NCL	NM_005381.3
chr2	232387898	232395156	NMUR1	NM_006056.5
chr2	232457575	232458987	TEX44	NM_152614.3
chr2	232573235	232578261	PTMA	NM_002823.5
chr2	232597143	232645992	PDE6D	NM_002601.4
chr2	232646381	232673963	COPS7B	NM_022730.4
chr2	232786519	232791106	NPPC	NM_024409.4
chr2	232826423	233209060	DIS3L2	NM_152383.5
chr2	233243461	233247599	ALPP	NM_001632.5
chr2	233271554	233275424	ALPG	NM_031313.3
chr2	233320863	233325463	ALPI	NM_001631.5
chr2	233344537	233352544	ECEL1	NM_004826.4
chr2	233385098	233390426	PRSS56	NM_001195129.2
chr2	233390870	233401374	CHRND	NM_000751.3
chr2	233404402	233412825	CHRNG	NM_005199.5
chr2	233408593	233415267	TIGD1	NM_145702.4
chr2	233415399	233448354	EIF4E2	NM_004846.4
chr2	233470767	233547486	EFHD1	NM_025202.4
chr2	233562041	233725315	GIGYF2	NM_001103146.3
chr2	233630512	233641275	KCNJ13	NM_002242.4
chr2	233733724	233743414	SNORC	NM_001346122.2
chr2	233743411	233877966	NGEF	NM_019850.3
chr2	233897382	233899767	NEU2	NM_005383.2
chr2	233925052	234116549	INPP5D	NM_001017915.3
chr2	234160319	234204315	ATG16L1	NM_030803.7
chr2	234216462	234255701	SAG	NM_000541.5
chr2	234263140	234380744	DGKD	NM_152879.3
chr2	234384172	234475428	USP40	NM_001365479.2
chr2	234526279	234681946	UGT1A8	NM_019076.5
chr2	234545123	234681951	UGT1A10	NM_019075.2
chr2	234580544	234681946	UGT1A9	NM_021027.3
chr2	234590547	234681946	UGT1A7	NM_019077.3
chr2	234600316	234681946	UGT1A6	NM_001072.4
chr2	234621553	234681946	UGT1A5	NM_019078.2
chr2	234627382	234681946	UGT1A4	NM_007120.3
chr2	234637688	234681946	UGT1A3	NM_019093.4
chr2	234651396	234652644	DNAJB3	NM_001001394.4
chr2	234668916	234681946	UGT1A1	NM_000463.3
chr2	234684370	234742064	MROH2A	NM_001367507.1
chr2	234745348	234763181	HJURP	NM_018410.5
chr2	234826018	234928166	TRPM8	NM_024080.5
chr2	234959346	234985778	SPP2	NM_006944.3
chr2	235401685	235405725	ARL4C	NM_001282431.2
chr2	235860661	235964358	SH3BP4	NM_014521.3
chr2	236402687	237040437	AGAP1	NM_001037131.3
chr2	237073879	237077029	GBX2	NM_001485.4
chr2	237102095	237172988	ASB18	NM_212556.3
chr2	237232794	237416119	IQCA1	NM_024726.5
chr2	237478468	237490997	ACKR3	NM_020311.3
chr2	237994532	238009117	COPS8	NM_006710.5
chr2	238232661	238322807	COL6A3	NM_004369.4
chr2	238395053	238463965	MLPH	NM_024101.7
chr2	238475217	238475818	PRLH	NM_015893.1
chr2	238482969	238499377	RAB17	NM_022449.4
chr2	238536230	238690286	LRRFIP1	NM_001137550.2
chr2	238707422	238751448	RBM44	NM_001080504.3
chr2	238768266	238820748	RAMP1	NM_005855.4
chr2	238875656	238951423	UBE2F	NM_080678.3
chr2	238969642	239008054	SCLY	NM_016510.7
chr2	239008981	239041928	ESPNL	NM_194312.4
chr2	239047309	239061588	KLHL30	NM_198582.4
chr2	239067611	239077531	ERFE	NM_001291832.2
chr2	239079043	239112336	ILKAP	NM_030768.3
chr2	239146908	239148679	HES6	NM_018645.6
chr2	239152685	239197251	PER2	NM_022817.3
chr2	239229159	239309541	TRAF3IP1	NM_015650.4
chr2	239335568	239360891	ASB1	NM_001040445.3
chr2	239756726	239832230	TWIST2	NM_001271893.4
chr2	239969864	240323343	HDAC4	NM_001378414.1
chr2	240831859	240964759	NDUFA10	NM_004544.4
chr2	240968908	240969846	OR6B2	NM_001005853.1
chr2	240983988	240992938	OR6B3	NM_173351.2
chr2	241065980	241075764	COPS9	NM_001163424.2
chr2	241078443	241080075	OTOS	NM_148961.4
chr2	241375080	241407493	GPC1	NM_002081.3
chr2	241418839	241500527	ANKMY1	NM_001354023.2
chr2	241499471	241504673	DUSP28	NM_001370465.2
chr2	241507901	241520789	RNPEPL1	NM_018226.6
chr2	241526151	241538521	CAPN10	NM_023083.4
chr2	241544847	241570670	GPR35	NM_001195381.2
chr2	241615835	241622302	AQP12B	NM_001102467.2
chr2	241631283	241637900	AQP12A	NM_198998.3
chr2	241653184	241760820	KIF1A	NM_001244008.2
chr2	241808241	241819917	AGXT	NM_000030.3
chr2	241825465	241835573	MAB21L4	NM_001085437.3
chr2	241845753	241932728	CROCC2	NM_001351305.2
chr2	241938035	242034983	SNED1	NM_001080437.3
chr2	242011583	242041702	MTERF4	NM_182501.4
chr2	242045514	242089637	PASK	NM_015148.4
chr2	242088988	242123067	PPP1R7	NM_002712.3
chr2	242128092	242165391	ANO7	NM_001370694.2
chr2	242166706	242255087	HDLBP	NM_005336.6
chr2	242254770	242293442	SEPTIN2	NM_004404.5
chr2	242295700	242434256	FARP2	NM_014808.4
chr2	242432085	242448987	STK25	NM_001271977.2
chr2	242498160	242513546	BOK	NM_032515.5
chr2	242523820	242576573	THAP4	NM_015963.6
chr2	242577108	242613272	ATG4B	NM_013325.5
chr2	242615162	242626230	DTYMK	NM_012145.4
chr2	242626435	242668893	ING5	NM_032329.6
chr2	242674045	242708226	D2HGDH	NM_152783.5
chr2	242716237	242743702	GAL3ST2	NM_022134.3
chr2	242750288	242758739	NEU4	NM_001167600.3
chr2	242792036	242801046	PDCD1	NM_005018.3
chr2	242811881	242815975	RTP5	NM_173821.3
chr2	242836139	242844736	FAM240C	NM_001382368.1
chr3	238446	451100	CHL1	NM_006614.4
chr3	1134708	1445901	CNTN6	NM_001289080.2
chr3	2140550	3099643	CNTN4	NM_175607.3
chr3	3108008	3152058	IL5RA	NM_175726.4
chr3	3168624	3195119	TRNT1	NM_182916.3
chr3	3191317	3221401	CRBN	NM_016302.4
chr3	3841115	3891518	LRRN1	NM_020873.7
chr3	4344988	4358949	SETMAR	NM_006515.3
chr3	4402830	4508953	SUMF1	NM_182760.4
chr3	4535032	4889190	ITPR1	NM_001378452.1
chr3	5021122	5027008	BHLHE40	NM_003670.3
chr3	5163977	5222596	ARL8B	NM_018184.3
chr3	5229392	5261643	EDEM1	NM_014674.3
chr3	6902802	7783220	GRM7	NM_000844.4
chr3	8543509	8616354	LMCD1	NM_014583.4
chr3	8661089	8693770	SSUH2	NM_001256748.2
chr3	8775488	8788444	CAV3	NM_033337.3
chr3	8792067	8811299	OXTR	NM_000916.4
chr3	8918759	9005156	RAD18	NM_020165.4
chr3	9022275	9291330	SRGAP3	NM_014850.4
chr3	9404738	9428475	THUMPD3	NM_001114092.2
chr3	9439299	9519838	SETD5	NM_001080517.3
chr3	9540045	9595506	LHFPL4	NM_198560.3
